UF,indice_pim_sem_ajuste,indice_pim _com_ajuste_sazonal,Segmentação,mês,ano
Brasil,103.35733,114.033532,Indústria geral,1,2012
Brasil,99.38515,100.1702431,Indústria geral,3,2023
Brasil,102.50798,101.2803346,Indústria geral,11,2019
Brasil,113.06392,103.6074074,Indústria geral,10,2019
Brasil,92.03653,99.63547131,Indústria geral,4,2023
Brasil,127.32526,115.5853374,Indústria geral,10,2014
Brasil,102.62008,116.3611718,Indústria geral,2,2013
Brasil,106.94489,101.7035945,Indústria geral,9,2019
Brasil,104.73802,100.6917763,Indústria geral,5,2023
Brasil,112.1134,101.4188437,Indústria geral,8,2019
Brasil,123.07107,115.3599698,Indústria geral,9,2014
Brasil,116.2884,114.9863071,Indústria geral,11,2014
Brasil,89.65106,99.17211437,Indústria geral,12,2019
Brasil,118.65181,120.0108671,Indústria geral,4,2013
Brasil,91.95129,99.78022798,Indústria geral,12,2022
Brasil,90.76051,93.29235135,Indústria geral,3,2020
Brasil,90.3957,99.49015331,Indústria geral,1,2023
Brasil,91.90105,101.4068583,Indústria geral,2,2020
Brasil,123.92138,115.1462721,Indústria geral,8,2014
Brasil,93.25265,101.1623008,Indústria geral,1,2020
Brasil,113.85214,117.992528,Indústria geral,3,2013
Brasil,87.42669,99.71606148,Indústria geral,2,2023
Brasil,121.70206,114.4263527,Indústria geral,7,2014
Brasil,101.88765,100.2032307,Indústria geral,6,2023
Brasil,104.56847,98.70050011,Indústria geral,10,2021
Brasil,106.2818,99.85848042,Indústria geral,9,2023
Brasil,94.02286,101.6991416,Indústria geral,1,2019
Brasil,97.57125,110.8477641,Indústria geral,2,2015
Brasil,107.01406,100.0234601,Indústria geral,10,2023
Brasil,122.16077,117.2382032,Indústria geral,11,2012
Brasil,90.84141,101.7309797,Indústria geral,12,2018
Brasil,104.28134,102.1715609,Indústria geral,11,2018
Brasil,102.82135,101.3456602,Indústria geral,11,2023
Brasil,109.92777,110.751585,Indústria geral,3,2015
Brasil,108.88426,100.1773941,Indústria geral,7,2019
Brasil,94.39633,101.329684,Indústria geral,3,2019
Brasil,110.11744,119.5384456,Indústria geral,1,2013
Brasil,99.98849,100.8983898,Indústria geral,6,2019
Brasil,102.2134,112.0109564,Indústria geral,12,2014
Brasil,105.5124,99.66146511,Indústria geral,7,2023
Brasil,106.03589,101.7297973,Indústria geral,5,2019
Brasil,111.26735,100.1429857,Indústria geral,8,2023
Brasil,97.12618,102.1024363,Indústria geral,4,2019
Brasil,107.48937,119.2495303,Indústria geral,12,2012
Brasil,102.66304,112.3476967,Indústria geral,1,2015
Brasil,70.24669,74.27922402,Indústria geral,4,2020
Brasil,102.41462,100.8345379,Indústria geral,6,2021
Brasil,102.95969,101.1549894,Indústria geral,5,2021
Brasil,98.37445,99.06122806,Indústria geral,3,2022
Brasil,107.91411,117.6841002,Indústria geral,1,2014
Brasil,130.56683,119.2341139,Indústria geral,8,2013
Brasil,94.72257,100.1047857,Indústria geral,4,2021
Brasil,100.3173,101.3730216,Indústria geral,3,2021
Brasil,94.63148,100.6946303,Indústria geral,4,2022
Brasil,107.54777,118.825347,Indústria geral,2,2014
Brasil,89.76868,102.3667793,Indústria geral,2,2022
Brasil,92.15339,105.1238511,Indústria geral,2,2021
Brasil,104.97604,116.2934755,Indústria geral,12,2013
Brasil,131.19189,118.8015983,Indústria geral,10,2013
Brasil,100.5582,98.62175234,Indústria geral,11,2021
Brasil,106.61016,99.57630118,Indústria geral,9,2021
Brasil,92.2986,100.0777447,Indústria geral,12,2021
Brasil,123.68849,119.7525668,Indústria geral,11,2013
Brasil,108.81356,99.38895521,Indústria geral,8,2021
Brasil,125.03259,120.3401563,Indústria geral,9,2013
